school_name,country
Harvard University,United States of America
California Institute of Technology,United States of America
Massachusetts Institute of Technology,United States of America
Stanford University,United States of America
Princeton University,United States of America
University of Cambridge,United Kingdom
University of Oxford,United Kingdom
"University of California, Berkeley",United States of America
Imperial College London,United Kingdom
Yale University,United States of America
"University of California, Los Angeles",United States of America
University of Chicago,United States of America
Johns Hopkins University,United States of America
Cornell University,United States of America
ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland
University of Michigan,United States of America
University of Toronto,Canada
Columbia University,United States of America
University of Pennsylvania,United States of America
Carnegie Mellon University,United States of America
University of Hong Kong,Hong Kong
University College London,United Kingdom
University of Washington,United States of America
Duke University,United States of America
Northwestern University,United States of America
University of Tokyo,Japan
Georgia Institute of Technology,United States of America
Pohang University of Science and Technology,South Korea
"University of California, Santa Barbara",United States of America
University of British Columbia,Canada
University of North Carolina at Chapel Hill,United States of America
"University of California, San Diego",United States of America
University of Illinois at Urbana-Champaign,United States of America
National University of Singapore,Singapore
McGill University,Canada
University of Melbourne,Australia
Peking University,China
Washington University in St Louis,United States of America
École Polytechnique,France
University of Edinburgh,United Kingdom
Hong Kong University of Science and Technology,Hong Kong
École Normale Supérieure,France
Australian National University,Australia
Karolinska Institute,Sweden
University of Göttingen,Germany
University of Wisconsin,United States of America
Rice University,United States of America
École Polytechnique Fédérale de Lausanne,Switzerland
"University of California, Irvine",United States of America
University of Science and Technology of China,China
Vanderbilt University,United States of America
University of Minnesota,United States of America
Tufts University,United States of America
"University of California, Davis",United States of America
Brown University,United States of America
University of Massachusetts,United States of America
Kyoto University,Japan
Tsinghua University,China
Boston University,United States of America
New York University,United States of America
Emory University,United States of America
LMU Munich,Germany
University of Notre Dame,United States of America
University of Pittsburgh,United States of America
Case Western Reserve University,United States of America
Ohio State University,United States of America
University of Colorado Boulder,United States of America
University of Bristol,United Kingdom
"University of California, Santa Cruz",United States of America
Yeshiva University,United States of America
University of Sydney,Australia
University of Virginia,United States of America
